title,author,journal,number,year,reviewed,display,citation-number
Examining the accuracy of self-reported smoking-related exposure among recently diagnosed nonmuscle invasive bladder cancer patients,"S Petruzella, BH Bochner, J Kenney, K Whiting, K Sadeghi, N Benfante, and others",The Journal of urology,"205 (5), 1321-1325",2021,No,No,
Association of biochemically verified post-diagnosis smoking and nonmuscle-invasive bladder cancer recurrence risk,"H Furberg, S Petruzella, K Whiting, E Stein, I Orlow, J Kenney, and others",The Journal of urology,"207 (6), 1200-1206",2022,No,No,
Presentation-ready data summary and analytic result tables,"D Sjoberg, M Curry, M Hannum, J Larmarange, K Whiting, EC Zabor, and others",Presentation‐ready data summary and analytic result tables,,2021,No,No,
A data processing pipeline for the AACR project GENIE biopharma collaborative data with the {genieBPC} R package,"JA Lavery, S Brown, MA Curry, A Martin, DD Sjoberg, K Whiting",Bioinformatics,"39 (1), btac796",2023,No,Yes,
A global repository of novel antimicrobial emergence events,"E Mendelsohn, N Ross, AM White, K Whiting, C Basaraba, and others",F,"F1000Research 9, 1320",2021,No,Yes,
A phase 1 trial of copanlisib plus ibrutinib in relapsed/refractory mantle cell lymphoma,"D Qualls, HY Lam, K Whiting, A Kumar, M Matasar, C Owens, C Nichols, and others",Blood Advances,"6 (18), 5262-5266",2022,No,No,
Clinfun: Clinical Trial Design and Data Analysis Functions. R package version 1.0. 15,"ES Venkatraman, K Whiting",,,2018,No,No,
PDGFRβ Signaling cooperates with β-catenin to modulate c-abl and biologic behavior of desmoid-type fibromatosis,"J Hu, MR Hameed, NP Agaram, K Whiting, LX Qin, AM Villano, and others",Clinical Cancer Research,"30 (2), 450-461",2024,No,No,
Clinical and genomic characterization of severe acute respiratory syndrome coronavirus 2 (SARS CoV-2) infections in mRNA vaccinated health care personnel in New York city,"K Whiting, EV Robilotti, A Lucca, C Poon, R Guest, T McMillen, K Jani, and others",Clinical Infectious Diseases,"75 (1), e774-e782",2022,No,Yes,
Circulating tumor DNA and response to cisplatin-based chemotherapy in patients with metastatic urothelial carcinoma enrolled in CALGB 90601 (Alliance),"BJ Guercio, K Whiting, RH Shah, KV Ballman, S Halabi, AM Regazzi, and others",European Urology Open Science,"75, 80-88",2025,No,No,
